custos_previstos_orc,custos_previstos_obra,custos_prev_subemp,facturação_prevista_orc,facturação_prevista_obra,custos_prevmat_obra,custos_prevserv_obra,dias,Desvios_custo_total_categorico,directorobra_António Costa,directorobra_Carlos Fernandes,directorobra_Carlos Martins,directorobra_João Fernandes,directorobra_João Pinto,directorobra_Mickael Barbosa,directorobra_Nuno Alves,directorobra_Não Ativos,directorobra_Pedro Lopes,tipoobra_Corian,tipoobra_Fachadas,tipoobra_Fenólicos,tipoobra_Outros,tipoobra_Paredes e tectos,tipoobra_Pavimentos,area_Argélia,area_Camarões,area_Centro,area_Chile,area_França,area_Ghana,area_Guiné Equatorial,area_Lisboa,area_Moçambique,area_Norte,area_Portugal,area_Reino Unido,area_Sul,vendedor_nome_CRISTIANO FERREIRA,vendedor_nome_CRISTIANO+RUI VEIGA,vendedor_nome_DVM GLOBAL,vendedor_nome_DVM GLOBAL+RUI VEIGA,vendedor_nome_FRANCISCO COSTA,vendedor_nome_FRANCISCO+RUI VEIGA,vendedor_nome_NUNO DURÃES,vendedor_nome_RUI VEIGA
"106859,02","262861,88","290492,55","135485,57","317710,36","154273,51","108588,36",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"3081,76","3081,76","268,75","4001,84","4001,84","2147,03","934,73",0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"20454,47","20454,47","3099,6","27220,63","27220,63","14062,26","6392,21",0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4572,28","4572,28","448,0","5945,89","5945,89","2773,71","1798,56",0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"5703,69","5703,69","0,0","10017,48","10017,48","3514,19","2189,5",0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"99591,97","107084,24","63762,5","120291,74","124946,23","89364,16","17720,08",363,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"14885,73","18285,98","11774,62","19965,58","25051,32","5910,69","12375,29",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"61299,06","62276,98","88714,61","79999,86","79999,86","29307,43","32969,55",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4846,93","4846,93","507,0","6390,76","6390,76","3274,34","1572,59",21,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"64836,56","64425,12","37391,9","84786,93","84212,08","18169,48","46255,64",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"511040,41","576352,51","238837,72","675146,12","679757,6","242490,9","333861,6",0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"1139,68","1139,68","224,0","1350,0","1350,0","735,68","404,0",0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"20413,12","14094,0","295,92","25602,51","17650,8","9721,08","4372,92",0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"2340,33","2340,33","549,68","3238,64","3238,64","1702,16","638,17",0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"134231,26","134231,26","17405,85","170000,01","170000,01","95967,92","38263,35",0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"73018,98","70986,46","0,0","96638,8","98603,74","52557,38","18429,08",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"41440,79","41440,79","8707,96","53972,02","53972,02","28842,23","12598,56",0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
